Date,Open,High,Low,Close,Next_Day_Return,Target,Daily_Return,SMA_5,SMA_10,SMA_20,SMA_50,Momentum_10,RSI_14,MACD,MACD_Signal,Volatility_20
2021-12-01,17104.4,17213.05,17064.25,17166.9,0.0136745714135924,1,0.010816571670827724,17153.35,17376.515,17680.754999999997,17821.28,-832.2999999999993,30.32077393075363,-220.36115516729478,-130.54517758135393,0.009849219268276792
2021-12-02,17183.2,17420.35,17149.3,17401.65,-0.0117776187890229,0,0.013674571413592407,17126.43,17326.815000000002,17656.390000000003,17821.375,-497.0,39.51944216206622,-204.07439607999186,-145.25102128108153,0.010463024874961233
2021-12-03,17424.9,17489.8,17180.8,17196.7,-0.0165409642547698,0,-0.011777618789022948,17160.480000000003,17270.004999999997,17624.765000000003,17814.069,-568.0999999999985,29.66080768626398,-205.33776834970922,-157.26837069480706,0.010715499537529555
2021-12-06,17209.05,17216.75,16891.7,16912.25,0.015636594775976,1,-0.016540964254769808,17132.14,17219.575,17574.5375,17801.380999999998,-504.2999999999993,26.10474631751228,-226.67872647157128,-171.15044185015992,0.011081039312270297
2021-12-07,17044.1,17251.65,16987.75,17176.7,0.017060902268771,1,0.01563659477597601,17170.840000000004,17186.91,17529.945,17788.456000000002,-326.6499999999978,34.53540405369836,-219.71989051039054,-180.86433158220606,0.011570494393786625
2021-12-08,17315.25,17484.6,17308.95,17469.75,0.0026960889537628,1,0.017060902268771105,17231.410000000003,17192.38,17501.219999999998,17780.787,54.70000000000073,42.48018795146923,-188.38667270023143,-182.36879980581114,0.012368624430517504
2021-12-09,17524.4,17543.25,17379.6,17516.85,-0.0003168377876158,0,0.002696088953762832,17254.45,17190.440000000002,17476.2025,17774.022,-19.400000000001455,45.51635594293049,-157.9337337013858,-177.48178658492608,0.01240493736682323
2021-12-10,17476.05,17534.35,17405.25,17511.3,-0.0081690108672685,0,-0.0003168377876159312,17317.370000000003,17238.925,17458.0875,17769.275999999998,484.84999999999854,51.95574545379487,-132.7175138737839,-168.52893204269765,0.01230710267035698
2021-12-13,17619.1,17639.5,17355.95,17368.25,-0.0024959336720739,0,-0.008169010867268511,17408.57,17270.355000000003,17421.3625,17762.415,314.2999999999993,47.2746711853466,-122.86016199889855,-159.39517803393784,0.011960992181257624
2021-12-14,17283.2,17376.2,17225.8,17324.9,-0.0059740604563374,0,-0.0024959336720740133,17438.21,17304.525,17382.135000000002,17756.55,341.7000000000007,48.14784377375552,-117.19516936758737,-150.95517630066774,0.01194825646222864
